id,herbal,fungsi,cara_penggunaan
1,inggu,pusing,"Bahan dihaluskan, ditempelkan pada pelipis, biarkan sampai kering"
2,jahe,pusing | leher kaku | pegel linu | radang lambung | masuk angin | mual,"Bahan dihaluskan, tambahkan sedikit air sampai menjadi adonan seperti bubur, dipakai di pelipis dan biarkan sampai kering | bahan diserbuk kemudian diseduh dengan 1 cangkir air mendidih, diamkan, saring dan diminum selagi hangat."
3,kencur,pusing | terkilir | pegel linu,"Bahan dihaluskan, ditempelkan pada pelipis (sisi yang sakit) biarkan sampai kering | bahan dihaluskan bersama beras dan air secukupnya, ditempelkan pada bagian yang sakit dan dibiarkan sampai kering | bahan dihaluskan sampai menjadi serbuk, diseduh dengan 1 cangkir air mendidih, diamkan, saring dan diminum selagi hangat sebelum makan. | bahan diseduh dengan 1 cangkir air mendidih, diamkan, saring dan diminum sebelum makan"
4,teh,pusing,"Bahan diseduh dengan 1 cangkir air mendidih, diamkan, saring dan dapat ditambahkan dengan sedikit air jeruk nipis dan/atau madu kemudian diaduk rata dan diminum sekaligus."
5,sambiloto,demam | pegel linu,"Bahan direbus dengan 2 gelas air sampai menjadi separuhnya. Dinginkan, saring, tambahkan madu secukupnya, minum sekaligus."
6,tapak_liman,demam,"bahan direbus dengan 2 gelas air menjadi separuhnya, dinginkan, saring, dan diminum sekaligus."
7,cabe_jawa,demam,"Bahan dihaluskan menjadi serbuk, seduh dengan 1 cangkir air mendidih, diamkan, diminum selagi hangat"
8,Sambiloto,selesma | mencret,"Bahan dihaluskan menjadi serbuk, seduh dengan air mendidih, saring dan minum selagi hangat"
9,jahe_merah,selesma,kupas 3 rimpang diperas
10,Sirih,mimisan,"Bahan ditumbuk, peras dengan sepotong kasa, sumbat hidung yang mimisan dengan kain kasa yang telah dibasahi dengan air perasan daun sirih"
11,Akar_wangi,bau mulut,"bahan direbus dengan 2 gelas air hingga menjadi separuhnya, dinginkan, saring, dan gunakan untuk berkumur"
12,Kemangi,bau mulut,"bahan diseduh dengan 1 cangkir air mendidih, diamkan, saring, dapat ditambahkan gula merah atau madu secukupnya."
13,Gambir,sakit gigi,"Bahan diseduh dengan setengah gelas air mendidih sampai larut, dinginkan. Gunakan untuk berkumur."
14,Patah tulang,sakit gigi,"Patahkan batang, tampung getah 1-3 tetes pada kapas, sisipkan pada gigi yang sakit"
15,Meniran,sakit gigi,"bahan direbus dengan 2 gelas air sampai menjadi 1 gelas, dinginkan, saring, dan diminum sekaligus"
16,Alang-Alang,Panas Dalam,"bahan direbus dengan 2 gelas air sampai menjadi setengahnya, kemudian diminum selagi hangat."
